,0
2979,"ESI6325, Applied Probability Methods in Engineering"
2980,"ESI6341, Intro to Stochastic Optimization"
2981,"ESI6346, Decision Making under Uncertainty"
2982,"ESI6417, Linear Programming and Network Optimization"
2983,"ESI6420, Fundamentals of Mathematical Programming"
2984,"ESI6492, Global Optimization"
2985,"ESI6529, Digital Simulation Techniques"
2986,"ESI6546, Stochastic Modeling and Analysis"
2987,"ESI6552, Systems Architecture"
2988,"ESI6553, Systems Design"
2989,"ESI6555, Systems Management"
2990,"EMA1004, Materials Impact on Society"
2991,"EMA3000L, Sophomore Materials Laboratory"
2992,"EMA3010, Materials"
2993,"EMA3011, Fundamental Principles of Materials"
2994,"EMA3013C, Materials Laboratory 2"
2995,"EMA3050, Introduction to Inorganic Materials"
2996,"EMA3066, Introduction to Organic Materials"
2997,"EMA3080C, Materials Laboratory 1"
2998,"EMA3413, Electronic Properties of Materials"
2999,"EMA3513C, Analysis of the Structure of Materials"
3000,"EMA3800, Error Analyses and Optimization Methodologies in Materials Research"
3001,"EMA4020L, Metallurgy Laboratory"
3002,"EMA4061, Biomaterials: Structure and Properties"
3003,"EMA4061L, Biomaterials Laboratory"
3004,"EMA4062, Biopolymers: Manufacture, Stability and Biocompatibility"
3005,"EMA4120, Physical Metallurgy 1"
3006,"EMA4121, Interfacial Engineering"
3007,"EMA4125, Transport Phenomena in Materials Processing"
3008,"EMA4144, Physical Ceramics 1"
3009,"EMA4161, Physical Properties of Polymers"
3010,"EMA4161L, Polymers Laboratory"
3011,"EMA4223, Mechanical Behavior of Materials"
3012,"EMA4224, Physical Metallurgy 2"
3013,"EMA4314, Energetics and Kinetics in Materials Science"
3014,"EMA4324, Stability of Materials"
3015,"EMA4414L, Electronic Materials Laboratory"
3016,"EMA4462, Polymer Characterization"
3017,"EMA4614, Production of Electronic Materials"
3018,"EMA4615, Compound Semiconductor Materials"
3019,"EMA4623, Process Metallurgy"
3020,"EMA4666, Polymer Processing"
3021,"EMA4714, Materials Selection and Failure Analysis"
3022,"EMA4913, Research in Materials Science and Engineering 1"
3023,"EMA4914, Research in Materials Science and Engineering 2"
3024,"EMA4915, Integrated Product and Process Design Program 1"
3025,"EMA4916, Integrated Product and Process Design Program 2"
3026,"EMA4935, Special Topics"
3027,"EMA5095, Critical Analysis of Research in Materials Science & Engineering"
3028,"EMA6001, Properties of Materials - A Survey"
3029,"EMA6106, Advanced Phase Diagrams"
3030,"EMA6107, High Temperature Materials"
3031,"EMA6114, Properties of Functional Materials"
3032,"EMA6136, Diffusion, Kinetics, and Transport Phenomena"
3033,"EMA6165, Polymer Physical Science"
3034,"EMA6313, Structure and Mechanical Properties of Materials"
3035,"EMA6316, Materials Thermodynamics"
3036,"EMA6412, Synthesis and Characterization of Electronic Materials"
3037,"EMA6461, Polymer Characterization"
3038,"EMA6507, Scanning Electron Microscopy and Microanalysis"
3039,"EMA6510, Survey of Materials Analysis Techniques"
3040,"EMA6516, X-Ray Methods for Materials Characterization"
3041,"EMA6518, Transmission Electron Microscopy"
3042,"EMA6580, Science of Biomaterials I"
3043,"EMA6581, Polymeric Biomaterials"
3044,"EMA6616, Advanced Electronic Materials Processing"
3045,"EMA6625, Advanced Metals Processing"
3046,"EMA6920, Professional Development for Materials Science and Engineering"
3047,"EMA6936, Seminar in Materials Science and Engineering"
3048,"EMA6938, Special Topics in Materials Science and Engineering"
3049,"EMA6941, Supervised Teaching"
3050,"ENU6805, Introduction to Nuclear Reactor Materials"
3051,"ATT2100, Learn to Fly"
3052,"BME5580, Introduction to Microfluidics and BioMEMS"
3053,"EAS2011, Introduction to Aerospace Engineering"
3054,"EAS4101, Aerodynamics"
3055,"EAS4132, Compressible Flow"
3056,"EAS4200, Aerospace Structures"
3057,"EAS4240, Aerospace Composites"
3058,"EAS4300, Aerospace Propulsion"
3059,"EAS4400, Stability and Control of Aircraft"
3060,"EAS4412, Dynamics and Control of Space Vehicles"
3061,"EAS4510, Astrodynamics"
3062,"EAS4700, Aerospace Design 1"
3063,"EAS4710, Aerospace Design 2"
3064,"EAS4810C, Aerospace Sciences Lab and Design"
3065,"EAS4912, Integrated Product and Process Design 1"
3066,"EAS4913, Integrated Product and Process Design 2"
3067,"EAS4939, Special Topics in Aerospace Engineering"
3068,"EAS5242, Mechanics of Composite Materials"
3069,"EAS5938, Special Topics in Aerospace Engineering"
3070,"EAS6138, Gasdynamics"
3071,"EAS6242, Advanced Structural Composites"
3072,"EAS6415, Guidance and Control of Aerospace Vehicles"
3073,"EAS6939, Special Topics in Aerospace Engineering"
3074,"EGM2511, Engineering Mechanics: Statics"
3075,"EGM3344, Introduction to Numerical Methods of Engineering Analysis"
3076,"EGM3401, Engineering Mechanics: Dynamics"
3077,"EGM3520, Mechanics of Materials"
3078,"EGM4592, Bio-Solid Mechanics"
3079,"EGM4853, Bio-Fluid Mechanics and Bio-Heat Transfer"
3080,"EGM5111L, Experimental Stress Analysis"
3081,"EGM5121C, Data Measurement and Analysis"
3082,"EGM5423, High Strain Rate Behavior of Materials"
3083,"EGM5533, Applied Elasticity and Advanced Mechanics of Solids"
3084,"EGM5584, Biomechanics of Soft Tissue"
3085,"EGM6321, Principles of Engineering Analysis I"
3086,"EGM6322, Principles of Engineering Analysis II"
3087,"EGM6341, Numerical Methods of Engineering Analysis I"
3088,"EGM6342, Fundamentals of Computational Fluid Dynamics"
3089,"EGM6352, Advanced Finite Element Methods"
3090,"EGM6365, Structural Optimization"
3091,"EGM6570, Principles of Fracture Mechanics"
3092,"EGM6611, Continuum Mechanics"
3093,"EGM6671, Inelastic Materials"
3094,"EGM6812, Fluid Mechanics I"
3095,"EGM6813, Fluid Mechanics II"
3096,"EGM6855, Bio-Fluid Mechanics and Bio-Heat Transfer"
3097,"EGM6934, Special Topics in Engineering Mechanics"
3098,"EGM6936, Graduate Seminar"
3099,"EGM7845, Turbulent Fluid Flow"
3100,"EGN3353C, Fluid Mechanics"
3101,"EML2023, Computer Aided Graphics and Design"
3102,"EML2322L, Design and Manufacturing Laboratory"
3103,"EML2920, Department and Professional Orientation"
3104,"EML3005, Mechanical Engineering Design 1"
3105,"EML3100, Thermodynamics"
3106,"EML3301C, Mechanics of Materials Laboratory"
3107,"EML4140, Heat Transfer"
3108,"EML4147C, Thermal Sciences Design and Laboratory"
3109,"EML4220, Vibrations"
3110,"EML4312, Control of Mechanical Engineering Systems"
3111,"EML4314C, Dynamics and Controls System Design Laboratory"
3112,"EML4321, Manufacturing Engineering"
3113,"EML4450, Energy Conversion"
3114,"EML4500C, Reengineering Historic Machinery"
3115,"EML4501, Mechanical Engineering Design 2"
3116,"EML4502, Mechanical Engineering Design 3"
3117,"EML4507, Finite Element Analysis and Design"
3118,"EML4600, Refrigeration and Air Conditioning Fundamentals"
3119,"EML4601, Heating and Air Conditioning System Design"
3120,"EML4722, Introduction to Computational Fluid Dynamics"
3121,"EML4737, Hydronics and Pneumatics for Building Systems"
3122,"EML4912, Integrated Product and Process Design 1: Mechanical Engineering"
3123,"EML4913, Integrated Product and Process Design 2: Mechanical Engineering"
3124,"EML4930, Special Topics in Mechanical Engineering"
3125,"EML5104, Classical and Statistical Thermodynamics"
3126,"EML5131, Combustion"
3127,"EML5215, Analytical Dynamics I"
3128,"EML5224, Acoustics"
3129,"EML5233, Failure of Materials in Mechanical Design"
3130,"EML5311, Control System Theory"
3131,"EML5465, Energy Management for Mechanical Engineers"
3132,"EML5515, Gas Turbines and Jet Engines"
3133,"EML5516, Design of Thermal Systems"
3134,"EML5526, Finite Element Analysis and Application"
3135,"EML5598, Orthopedic Biomechanics"
3136,"EML5605, Advanced Refrigeration"
3137,"EML5714, Introduction to Compressible Flow"
3138,"EML6154, Conduction Heat Transfer"
3139,"EML6155, Convective Heat Transfer I"
3140,"EML6156, Multiphase Convection Heat Transfer"
3141,"EML6157, Radiation Heat Transfer"
3142,"EML6267, Advanced Manufacturing Processes and Analysis"
3143,"EML6281, Geometry of Mechanisms and Robots I"
3144,"EML6282, Geometry of Mechanisms and Robots II"
3145,"EML6323, Nontraditional Manufacturing"
3146,"EML6324, Fundamentals of Production Engineering"
3147,"EML6350, Introduction to Nonlinear Control"
3148,"EML6351, Nonlinear Control II: Adaptive Control"
3149,"EML6417, Solar Energy Utilization"
3150,"EML6451, Energy Conversion"
3151,"EML6606, Advanced Air Conditioning"
3152,"EML6934, Special Topics in Mechanical Engineering"
3153,"ENU1000, Introduction to Nuclear Engineering"
3154,"ENU4001, Nuclear Engineering Analysis 1"
3155,"ENU4103, Reactor Analysis and Computation 1: Statics"
3156,"ENU4134, Reactor Thermal Hydraulics"
3157,"ENU4144, Nuclear Power Plant Reactor Systems 1"
3158,"ENU4145, Risk Assessment for Radiation Systems"
3159,"ENU4191, Elements of Nuclear and Radiological Engineering Design"
3160,"ENU4192, Nuclear and Radiological Engineering Design"
3161,"ENU4505L, Nuclear and Radiological Engineering Laboratory 1"
3162,"ENU4605, Radiation Interactions and Sources 1"
3163,"ENU4612, Nuclear Radiation Detection and Instrumentation"
3164,"ENU4612L, Nuclear Radiation Detection and Instrumentation Laboratory"
3165,"ENU4630, Fundamental Aspects of Radiation Shielding"
3166,"ENU4641C, Applied Radiation Protection"
3167,"ENU4800, Introduction to Nuclear Reactor Materials"
3168,"ENU4930, Special Topics in Nuclear and Radiological Engineering"
3169,"ENU4934, Fundamentals of Nuclear and Radiological Engineering"
3170,"ENU4949, Co-op Work Experience"
3171,"ENU5142, Reliability and Risk Analysis for Nuclear Facilities"
3172,"ENU5176L, Principles of Nuclear Reactor Operations Laboratory"
3173,"ENU5186, Nuclear Fuel Cycles"
3174,"ENU5615C, Nuclear Radiation Detection and Instrumentation"
3175,"ENU6051, Radiation Interaction Basics and Applications I"
3176,"ENU6106, Nuclear Reactor Analysis I"
3177,"ENU6135, Nuclear Thermal Hydraulics"
3178,"ENU6136, Advanced Nuclear Thermal Hydraulics"
3179,"ENU6805, Introduction to Nuclear Reactor Materials"
3180,"ENU6935, Nuclear and Radiological Engineering Seminar"
3181,"ENU6936, Special Projects in Nuclear and Radiological Engineering Sciences"
3182,"ENU6937, Special Topics in Nuclear and Radiological Engineering Sciences"
3183,"APK2100C, Applied Human Anatomy with Laboratory"
3184,"APK2105C, Applied Human Physiology with Laboratory"
3185,"APK3110C, Physiology of Exercise and Training"
3186,"APK3113, Principles of Strength and Conditioning"
3187,"APK3113C, Principles of Strength and Conditioning"
3188,"APK3163, Sport Nutrition"
3189,"APK3200, Motor Learning"
3190,"APK3220C, Biomechanical Basis of Movement"
3191,"APK3400, Introduction to Sport Psychology"
3192,"APK3405, Exercise Psychology"
3193,"APK4050, Research Methods"
3194,"APK4101, Fundamentals of Skeletal Muscle"
3195,"APK4103C, Kinetic Anatomy"
3196,"APK4112, Advanced Exercise Physiology"
3197,"APK4115, Neuromuscular Aspects of Exercise"
3198,"APK4120, Clinical Exercise Physiology"
3199,"APK4125C, Physical Fitness Assessment and Exercise Prescription"
3200,"APK4144, Movement Neuroscience"
3201,"APK5102, Kinetic Anatomy"
3202,"APK5127, Assessment in Exercise Science"
3203,"APK5404, Sport Psychology"
3204,"APK6116C, Physiological Bases of Exercise and Sport Sciences"
3205,"APK6118, Neuromuscular Adaptation to Exercise"
3206,"APK6145, Movement Disorders"
3207,"APK6167, Nutrition Aspects of Human Performance"
3208,"APK6170, Advanced Exercise Physiology"
3209,"APK6176, Strength and Conditioning"
3210,"APK6205C, Nature and Bases of Motor Performance"
3211,"APK6225, Biomechanical Instrumentation"
3212,"APK6226C, Biomechanics of Human Motion"
3213,"APK6408, Performance Enhancement"
3214,"APK7107, Cardiovascular Exercise Physiology"
3215,"APK7108, Environmental Stress Exercise Physiology"
3216,"APK7117, Exercise Metabolism"
3217,"ATR2010C, Prevention and Care of Athletic Injuries"
3218,"ATR3102, Principles of Athletic Training"
3219,"ATR4018, Professionalism and Communication in Sports Healthcare"
3220,"ATR4112C, Emergency Management of Athletic Trauma"
3221,"ATR4212C, Athletic Injury Assessment: Upper Extremity"
3222,"ATR4213C, Athlete Injury Assessment: Lower Extremity"
3223,"ATR4302C, Therapeutic Modalities in Athletic Training"
3224,"ATR4314C, Rehabilitation Techniques in Athletic Training"
3225,"ATR4315, Functional Sport Conditioning"
3226,"ATR4432, Clinical Pathology and Pharmacology"
3227,"ATR4512, Athletic Training Administration"
3228,"ATR4812, Athletic Training Clinical Experience 1"
3229,"ATR4822, Athletic Training Clinical Experience 2"
3230,"ATR4832, Athletic Training Clinical Experience 3"
3231,"ATR4842, Athletic Training Clinical Experience 4"
3232,"ATR6124, Clinical Anatomy for the Exercise Sciences"
3233,"ATR6145, Human Pathophysiology for the Exercise Sciences"
3234,"ATR6215, Evidence-Based Orthopedic Exam I: Upper-Extremity"
3235,"ATR6216, Evidence-Based Orthopedic Exam II: Lower-Extremity"
3236,"ATR6304, Rehabilitation and Modalities of Athletic Injuries"
3237,"ATR6624, Athletic Training Research and Technology I"
3238,"ATR6625, Athletic Training Research and Technology II"
3239,"ATR6934, Seminar in Athletic Training"
3240,"ATR7108C, Clinical Management in Athletic Training"
3241,"ATR7128C, Advanced Cadaveric Dissection"
3242,"ATR7209C, Movement Screening and Assessment"
3243,"ATR7210C, Evidence Based Musculoskeletal Examination I"
3244,"ATR7211C, Evidence Based Musculoskeletal Examination II"
3245,"ATR7229C, Diagnostic Imaging for Athletic Trainers"
3246,"ATR7300C, Evidence Based Therapeutic Intervention"
3247,"ATR7318C, Sport Performance and Intervention"
3248,"ATR7438C, Clinical Techniques and Pharmacology for Athletic Trainers I"
3249,"ATR7439C, Clinical Techniques and Pharmacology for Athletic Trainers II"
3250,"ATR7628, Clinical Research in Athletic Training I"
3251,"ATR7818C, Advanced Clinical Experience I"
3252,"ATR7828C, Advanced Clinical Experience II"
3253,"ATR7838C, Advanced Clinical Experience III"
3254,"HLP6535, Research Methods in Health and Human Performance"
3255,"HLP7939, HHP PhD Professional Development Seminar"
3256,"PET5936, Special Topics/Seminars"
3257,"HLP7939, HHP PhD Professional Development Seminar"
3258,"HSC3032, Foundations of Health Education"
3259,"HSC3102, Personal and Family Health"
3260,"HSC3201, Community and Environmental Health"
3261,"HSC3537, Health and Medical Terminology"
3262,"HSC4133, Human Sexuality Education"
3263,"HSC4134, Emotional Health and Counseling"
3264,"HSC4143, Drug Education"
3265,"HSC4143, Drug Education and Behavior"
3266,"HSC4174, Behavioral and Environmental Determinants of Obesity"
3267,"HSC4232C, Exercise Therapy, Adapted Physical Activity and Health"
3268,"HSC4233, Patient Health Education"
3269,"HSC4302, Methods and Materials in Health Education"
3270,"HSC4574, Nutrition Education for Special Populations"
3271,"HSC4579, Women's Health Issues"
3272,"HSC4593, HIV/AIDS Education"
3273,"HSC4623, Minority Health Issues"
3274,"HSC4624, Trends in International Health"
3275,"HSC4663, Community Health Methods in Injury Prevention and Control"
3276,"HSC4664, Health Communication for Consumers"
3277,"HSC4694, Worksite Health Promotion"
3278,"HSC4713, Planning and Evaluating Health Education Programs"
3279,"HSC4800, Health Education Professional Development"
3280,"HSC4950, Current Topics in Health Education"
3281,"HSC5135, Emotional Health Education"
3282,"HSC5138, Human Sexuality"
3283,"HSC5142, Drug Education"
3284,"HSC5536C, Medical Terminology for the Health Professions"
3285,"HSC5618, Advanced Exercise Therapy, Adapted Physical Activity, & Health"
3286,"HSC5925, Seminar in Health Education"
3287,"HSC5956, Writing for Professional Publications"
3288,"HSC6037, Philosophy and Principles of Health Education"
3289,"HSC6235, Patient Health Education"
3290,"HSC6318, Planning Health Education Programs"
3291,"HSC6506, Epidemiology"
3292,"HSC6575, Women's Health Issues"
3293,"HSC6595, HIV/AIDS Education"
3294,"HSC6603, Theories of Health Behavior and Practice in Health Education"
3295,"HSC6637, Social Marketing and Health"
3296,"HSC6646, Community Health Methods in Injury Prevention & Control"
3297,"HSC6665, Health Communication"
3298,"HSC6695, Worksite Health Promotion"
3299,"HSC6712, Evaluating Health Education Programs"
3300,"HSC6735, Research Methods in Health Education"
3301,"HSC6935, Current Topics in Health Education"
3302,"HSC7937, Advanced Seminar in Health Education"
3303,"HLP6515, Evaluation Procedures in Health and Human Performance"
3304,"HLP6535, Research Methods in Health and Human Performance"
3305,"HLP7939, HHP PhD Professional Development Seminar"
3306,"HLP7979, Advanced Research in Health and Human Performance"
3307,"LEI3921, Field Experience in TRSM"
3308,"SPM2000, Introduction to Sport Management"
3309,"SPM2060, Sport Career Preparation"
3310,"SPM3012, Social Issues in Sport"
3311,"SPM3012, Sport and Society"
3312,"SPM3025, Diversity and Inclusion in Sport Organizations"
3313,"SPM3104, Sport Event Management"
3314,"SPM3109, Sport Event Management"
3315,"SPM3204, Ethical Issues in Sport"
3316,"SPM3306, Sport Marketing"
3317,"SPM3403, Sport Information Management"
3318,"SPM4104, Sport Facility Design and Management"
3319,"SPM4104, Sport Operations and Facility Management"
3320,"SPM4154, Administration of Sport and Physical Activity"
3321,"SPM4154, Managing Organizations in Sport"
3322,"SPM4510, Revenue Generation in Sport"
3323,"SPM4515, Sport Business and Finance"
3324,"SPM4723, Legal Issues in Sport"
3325,"SPM4724, Risk Management in Live Entertainment and Sports"
3326,"SPM4905, Variable Topics in Sport Management"
3327,"SPM4940, Advanced Career Preparation"
3328,"SPM4941C, Internship in Sport Management"
3329,"SPM4948, Practicum in Sport Management"
3330,"SPM5016, Sport Sociology"
3331,"SPM5107, Sport Event Management: Principles and Applications"
3332,"SPM5181, Athlete Development"
3333,"SPM5206, Sport Ethics"
3334,"SPM5309, Sport Marketing"
3335,"SPM5506, Sport Finance"
3336,"SPM5936, Current Topics in Sport Management"
3337,"SPM6158, Management and Leadership in Sport"
3338,"SPM6308, Study of Sport Consumer Behaviors"
3339,"SPM6606, Management of Olympic Games Functional Areas"
3340,"SPM6610, Sport Events and Community Development"
3341,"SPM6726, Issues in Sport Law"
3342,"SPM6905, Directed Independent Study"
3343,"SPM6948, Advanced Practicum in Sport Management"
3344,"HFT2750, Event Management"
3345,"HFT3253, Lodging Operations and Management"
3346,"HFT3512, Event Promotion"
3347,"HFT3806, Food and Beverage Management"
3348,"HFT4442, Artificial Intelligence Revolutions and Applications in Tourism, Hospitality, and Events"
3349,"HFT4468, Hospitality Revenue Management"
3350,"HFT4517, Convention Sales and Service"
3351,"HFT4743, Tourism and Hospitality Marketing"
3352,"HFT4754, Advanced Event Management"
3353,"HFT4755, Theme Park and Attraction Management"
3354,"HLP6515, Evaluation Procedures in Health and Human Performance"
3355,"HLP6535, Research Methods in Health and Human Performance"
3356,"HLP7939, HHP PhD Professional Development Seminar"
3357,"HMG6583C, Data Mining with Social Data"
3358,"HMG6589C, Applied Multivariate Analysis for Tourism and Hospitality"
3359,"HMG6747, Marketing in Hospitality/Tourism"
3360,"LEI2181, Leisure Contemporary Society"
3361,"LEI3301, Principles of Travel and Tourism"
3362,"LEI3303, Fundamentals of Tourism Planning"
3363,"LEI3360, Hospitality Management"
3364,"LEI3843, Entrepreneurship in Tourism, Recreation and Sport Management"
3365,"LEI3921, Field Experience in TRSM"
3366,"LEI4540, Management and Supervision of Leisure Facilities and Personnel"
3367,"LEI4880, Research Methods in Tourism, Recreation and Sport Management"
3368,"LEI5188, Trends and Issues in Tourism and Recreation Management"
3369,"LEI6326, Sport Tourism"
3370,"LEI6336, Tourism Planning and Development"
3371,"LEI6351, Heritage Tourism"
3372,"LEI6895, Tourism Theory and Concepts"
3373,"LEI6931, Special Topics in Recreation, Parks, and Tourism"
3374,"HFT2750, Event Management"
3375,"HFT3253, Lodging Operations and Management"
3376,"HFT3512, Event Promotion"
3377,"HFT4468, Hospitality Revenue Management"
3378,"HFT4517, Convention Sales and Service"
3379,"HFT4743, Tourism and Hospitality Marketing"
3380,"HFT4754, Advanced Event Management"
3381,"HLP6515, Evaluation Procedures in Health and Human Performance"
3382,"HLP6535, Research Methods in Health and Human Performance"
3383,"HLP7939, HHP PhD Professional Development Seminar"
3384,"HMG6583C, Data Mining with Social Data"
3385,"HMG6747, Marketing in Hospitality/Tourism"
3386,"LEI2181, Leisure Contemporary Society"
3387,"LEI3301, Principles of Travel and Tourism"
3388,"LEI3303, Fundamentals of Tourism Planning"
3389,"LEI3360, Hospitality Management"
3390,"LEI3843, Entrepreneurship in Tourism, Recreation and Sport Management"
3391,"LEI3921, Field Experience in TRSM"
3392,"LEI4540, Management and Supervision of Leisure Facilities and Personnel"
3393,"LEI4800, Legal Aspects of Tourism, Events and Recreation"
3394,"LEI4880, Research Methods in Tourism, Recreation and Sport Management"
3395,"LEI4905, Variable Topics"
3396,"LEI4955, Travel Studies"
3397,"LEI5188, Trends and Issues in Tourism and Recreation Management"
3398,"LEI6325, Ecotourism"
3399,"LEI6895, Tourism Theory and Concepts"
3400,"LEI6931, Special Topics in Recreation, Parks, and Tourism"
3401,"LEI7170, Foundations of Leisure Behavior"
3402,"SPM2000, Introduction to Sport Management"
3403,"SPM3012, Sport and Society"
3404,"SPM3204, Ethical Issues in Sport"
3405,"SPM3306, Sport Marketing"
3406,"SPM3403, Sport Information Management"
3407,"SPM4104, Sport Facility Design and Management"
3408,"SPM4154, Administration of Sport and Physical Activity"
3409,"SPM4515, Sport Business and Finance"
3410,"SPM4723, Legal Issues in Sport and Physical Activity"
3411,"SPM5016, Sport Sociology"
3412,"SPM5107, Sport Event Management: Principles and Applications"
3413,"SPM5181, Athlete Development"
3414,"SPM5206, Sport Ethics"
3415,"SPM5309, Sport Marketing"
3416,"SPM5506, Sport Finance"
3417,"SPM5936, Current Topics in Sport Management"
3418,"SPM6036, Research Seminar in Sport Management"
3419,"SPM6158, Management and Leadership in Sport"
3420,"SPM6606, Management of Olympic Games Functional Areas"
3421,"SPM6610, Sport Events and Community Development"
3422,"SPM6726, Issues in Sport Law"
3423,"SPM6905, Directed Independent Study"
3424,"SPM6948, Advanced Practicum in Sport Management"
3425,"ADV3001, Advertising Strategy"
3426,"ADV3008, Principles of Advertising"
3427,"ADV3303, Cross Media Selling"
3428,"ADV3310, Digital Media Sales"
3429,"ADV3403, Branding"
3430,"ADV3411, Multicultural Advertising in the U.S."
3431,"ADV3500, Digital Insights"
3432,"ADV3502, Advertising Sales"
3433,"ADV3920C, Professional Workshop in Advertising"
3434,"ADV3943, The Agency Immersion"
3435,"ADV4101, Copywriting and Visualization"
3436,"ADV4102, Advanced Copywriting"
3437,"ADV4300, Media Planning"
3438,"ADV4302, Great Ideas in Marketplace Communications"
3439,"ADV4400, International and Cross Cultural Advertising"
3440,"ADV4800, Advertising Campaigns"
3441,"ADV4801, Creative Advertising Competitions"
3442,"ADV4910, Advertising Undergraduate Research"
3443,"ADV4930, Special Study in Advertising"
3444,"MMC2100, Writing for Mass Communication"
3445,"MMC3203, Ethics and Problems in Mass Communications"
3446,"MMC6806, eHealth: Digital Communication in Health Care"
3447,"JOU2040, Writing Mechanics"
3448,"JOU2100, Broadcast Writing Bootcamp"
3449,"JOU3101, Reporting"
3450,"JOU3109C, Multimedia Writing"
3451,"JOU3110, Applied Fact Finding"
3452,"JOU3121, Dataviz and Mapping"
3453,"JOU3213, Design"
3454,"JOU3220C, Visual Journalism"
3455,"JOU3305, Data Journalism"
3456,"JOU3346L, Multimedia Reporting"
3457,"JOU3363, Introduction to Web Apps for Communicators"
3458,"JOU3601, Photographic Journalism"
3459,"JOU3920, Professional Practice"
3460,"JOU4004, History of Journalism"
3461,"JOU4008, Journalism Studies"
3462,"JOU4111, Advanced Reporting"
3463,"JOU4123, Investigative Reporting"
3464,"JOU4201, News Center Practicum"
3465,"JOU4202, Advanced News Center Practicum"
3466,"JOU4214, Advanced Design"
3467,"JOU4304, Science Journalism"
3468,"JOU4308, Magazine and Feature Writing"
3469,"JOU4311, Narrative Nonfiction Writing"
3470,"JOU4313C, Sports Reporting"
3471,"JOU4314, Environmental Journalism"
3472,"JOU4364, Advanced Web Apps for Communicators"
3473,"JOU4447C, Applied Magazines"
3474,"JOU4603, Specialized Journalistic Photography"
3475,"JOU4604, Advanced Photographic Journalism 1"
3476,"JOU4605, Advanced Photographic Journalism 2"
3477,"JOU4930, Special Study in Journalism"
3478,"JOU4950, Applied Journalism"
3479,"MMC2121, Writing Fundamentals for Communicators"
3480,"MMC2450, Data Literacy for Communicators"
3481,"MMC2604, Mass Media and You"
3482,"MMC2604, Media, Cultures, and Identity"
3483,"MMC3030, Personal Branding for Communicators"
3484,"MMC3254, Media Entrepreneurship"
3485,"MMC3702, Rock 'N Roll and American Society Part 1"
3486,"MMC3703, Sports Media and Society"
3487,"MMC3742, Rock 'N' Roll and American Society Part 2"
3488,"MMC4200, Law of Mass Communication"
3489,"PGY3610, Survey of Photojournalism"
3490,"RTV3106, Writing and Reporting for Interactive Media"
3491,"RTV3303, Audio News and Reporting"
3492,"RTV3304, Advanced Audio Storytelling"
3493,"RTV3304, Advanced Radio Reporting"
3494,"RTV3305, In-Depth Broadcast Reporting"
3495,"RTV3305, Investigative Reporting for Broadcast Journalists"
3496,"RTV3632, Broadcast News Producing"
3497,"RTV4301, TV News Reporting"
3498,"RTV4594, Advanced Reporting for Interactive Media"
3499,"RTV4681, Advanced TV News Reporting"
3500,"RTV4684, Advanced Broadcast News Producing"
3501,"ADV6325, Advertising and Social Media"
3502,"ADV6503, Advertising Creative Strategy and Research"
3503,"COM6338, Advanced Web Topics I:  Advanced Design"
3504,"COM6715, Grant Writing"
3505,"JOU5007, History of Journalism"
3506,"MMC5006, Introduction to Multimedia Communication"
3507,"MMC5046, Presentation Power"
3508,"MMC5165, Influence and Selling"
3509,"MMC5206, Advanced Law of Mass Communication"
3510,"MMC5277, Web Design Principles"
3511,"MMC5279, UX Design Theory"
3512,"MMC5308, Communicating for Success"
3513,"MMC5406, Selling Today"
3514,"MMC5427, Research Methods in Digital Communication"
3515,"MMC5435, Messaging Strategy and the Centrality of the Value Proposition"
3516,"MMC5449, Consumer and Audience Analytics"
3517,"MMC5465, Communication Leadership"
3518,"MMC5636, Introduction to Social Media"
3519,"MMC5648, Public Affairs Communication"
3520,"MMC5708, Foundations of Intercultural Communication"
3521,"MMC5717, Cross Platform Media Selling"
3522,"MMC5737, Lead Generation and Management"
3523,"MMC5739, Social Media Advertising for Conversions"
3524,"MMC6135, Data Visualization"
3525,"MMC6145, Web Interactivity and Engagement"
3526,"MMC6213, Strategic Communication Ethics and Concepts"
3527,"MMC6278, Advanced Web Topics II"
3528,"MMC6400, Mass Communication Theory"
3529,"MMC6402, Seminar in Mass Communication Theory"
3530,"MMC6409, Science/Health Communication"
3531,"MMC6417, New Media, Health Behavior and the Health Environment"
3532,"MMC6421, Research Methods in Mass Communication"
3533,"MMC6423, Content-Analysis Methods"
3534,"MMC6426, Qualitative Research"
3535,"MMC6428, Collaborative Communication Research"
3536,"MMC6455, Mass Communication Statistics"
3537,"MMC6456, Data Storytelling and Visualization"
3538,"MMC6457, Mass Communication Statistics 2"
3539,"MMC6466, Digital Persuasive Communication"
3540,"MMC6475, Audience Research Methods"
3541,"MMC6486, Family Communication and Health Across the Lifespan"
3542,"MMC6618, Survey of Political Communication"
3543,"MMC6638, Global Activism and Social Change Communication"
3544,"MMC6660, Communication, Technology and Society"
3545,"MMC6660, Mass Communication and Society"
3546,"MMC6726, Social Media and Emerging Technology"
3547,"MMC6727, Social Media Metrics"
3548,"MMC6728, Branding Using Social and Mobile Media"
3549,"MMC6730, Social Media Management"
3550,"MMC6905, Individual Work"
3551,"MMC6929, Communication Colloquium"
3552,"MMC6930, Seminar in Mass Communication Teaching"
3553,"MMC6936, Special Topics in Mass Communication"
3554,"MMC6973, Project in Lieu of Thesis"
3555,"PUR5507, Persuasion Theory and Research"
3556,"PUR6005, Theories of Public Relations"
3557,"PUR6409, International Issues and Crisis Communication"
3558,"PUR6506, Public Relations Research"
3559,"PUR6607, Public Relations Management"
